name,style,code,"ORIGINAL 
PO #1 & #2","1st delivery (Barneys, NAP, Matches, Shopbop)",Second Delivery (balance from PO #1 & #2),MIAMI Delivery,Extra tolerance,SOPHIE COPY IF NOT ALREADY ORDERED,orderquantity,chilete,huanchao,huamachuco,limoncarlo1,limoncarlo2,magaly,paypay,milagro,progreso1,progreso2,otrosierra,palmeras,salitre1,salitre2,sanpedrodelloc,tembladera1,tembladera2,julcan
Kiko01,Travesia con Paja,KEI01,31,20,11,,2,,33,1.1,1.5,1.9,2.1,1.5,1.9,1.5,2,2.1,1.4,2.1,2.5,1.5,3.3,1.5,3.3,2.1,1.9
Kiko02,Travesia con Paja,KEI02,28,10,18,,2,,30,1.2,1.3,3.3,2.5,2.1,1.5,1.1,1.9,2.5,1.5,1.9,1.5,2.9,2.5,3.3,1.9,1.7,1.5
LIA01,con paja,LIA01,94,88,6,4,5,,103,1.9,2.5,1.7,3.1,2.5,3.3,2.5,1.5,1,3.3,1.7,1.9,1.9,1.4,1.5,3.9,2.5,3.3
LIA02,con paja,LIA02,14,,14,,2,,16,3.3,2.1,1.9,2.5,1.4,1.2,2.1,1.9,2.1,1.7,1.9,2.1,2.7,2.1,2.1,2.1,1.5,1.2
LIA03,con paja,LIA03,23,20,3,3,2,1,29,1.7,1.7,2.3,2.1,1.9,1.5,3.3,1.7,3.1,2.5,2.5,1.5,2.5,1.7,3.2,1.9,1.4,1.5
LIU01,NUEVO - plaid,LIA-01EX,90,83,7,2,2,,94,1.2,3.3,2.5,3.3,1.5,3.3,2.5,2.5,1,1.5,1.7,2.5,3.3,2.5,2.5,2.1,1.5,3.3
LILLA01,NUEVO - rombos2,LIL-01EX,72,65,7,2,2,,76,2.1,2.5,2.1,1.3,2.1,2.5,1,2.1,1.7,1.4,2.1,3.3,1.9,1.5,2.3,3.3,2.1,2.5
LULU01,con paja,LUL01,12,,12,,1,,13,1.5,3.3,1.5,1.5,1.9,1.5,1.9,1.9,1.7,1.9,2,1.5,1.7,2.1,2.1,3,2.5,1.5
LULU02,con paja,LUL02,4,,4,,1,1,6,2.2,1.9,2.1,2.5,1.7,2.1,3.3,1.5,3.1,2.5,2.5,2.1,3.9,2.5,1.5,2.1,1.4,2.1
LULU03,con paja,LUL03,10,,10,5,1,,16,2.1,1.5,3.3,3.3,2.1,1.9,1.5,3.3,1,2.1,3.3,1.9,2.9,2.1,1.9,3.3,2.1,1.9
LULU04,con paja,LUL04,28,,28,3,2,,33,3.3,2.2,2.1,3.1,2.5,2.5,2.1,2.5,2.1,1.4,1.7,2,1.9,1.7,3.3,2.5,2,2.5
MILA 09,olas,MIL01,40,,40,2,2,,44,1.5,2.5,2.2,1.5,1.4,1.5,3.3,2.1,2.5,2,2.5,2.5,3.3,2.1,2.1,1.5,1.5,1.5
MILA 07,olas,MIL02,30,,30,,1,,31,2.1,1.9,1.5,2.1,1.4,1.7,1.5,1,1.5,1.7,2.1,3.3,1.9,2.5,1.5,2.1,1.9,1.7
MILA 06,olas,MIL03,51,,51,,2,,53,1.9,3.3,3.3,2.1,1.5,2.1,1.3,1.9,2.1,1.9,1.7,2.1,1.7,1.4,2.1,2.5,1.7,2.1
MILA 08,olas,MIL04,44,,44,7,2,,53,3.3,2.1,1.9,3.1,2.5,3.3,2.1,3.3,1.7,1.5,2,1.9,2.5,1.4,1.9,3.3,1.5,3.3
MILA 10,olas,MIL04,23,18,5,2,1,,26,1.5,1.7,1.5,3.4,1.7,1.5,2.5,1.5,1.9,1.9,2.5,1.5,1.7,1.5,2.8,3.2,2.5,1.5
